datetime,open,high,low,close,chain_detected_5s,chain_detected_10s,chain_detected_30s,chain_detected_1m,chain_detected_2m,chain_detected_5m,chain_detected_10m
2025-04-03 16:23:00,206.345,206.35,206.2201,206.25,1.0,0.0,0.0,-1.0,,,
2025-04-03 16:23:05,206.2201,206.26,206.2201,206.255,1.0,,,,,,
2025-04-03 16:23:10,206.255,206.34,206.19,206.335,1.0,0.0,,,,,
2025-04-03 16:23:15,206.32,206.34,206.29,206.335,1.0,,,,,,
2025-04-03 16:23:20,206.35,206.3797,206.32,206.32,1.0,0.0,,,,,
2025-04-03 16:23:25,206.32,206.32,206.295,206.31,1.0,,,,,,
2025-04-03 16:23:30,206.29,206.32,206.29,206.31,0.0,0.0,0.0,,,,
2025-04-03 16:23:35,206.335,206.425,206.33,206.41,0.0,,,,,,
2025-04-03 16:23:40,206.41,206.43,206.4,206.405,1.0,0.0,,,,,
2025-04-03 16:23:45,206.4,206.4,206.37,206.3772,1.0,,,,,,
2025-04-03 16:23:50,206.37,206.4,206.34,206.37,1.0,0.0,,,,,
2025-04-03 16:23:55,206.4,206.4,206.37,206.375,1.0,,,,,,
2025-04-03 16:24:00,206.36,206.36,206.3155,206.33,1.0,0.0,0.0,-1.0,-1.0,,
2025-04-03 16:24:05,206.33,206.39,206.33,206.33,1.0,,,,,,
2025-04-03 16:24:10,206.325,206.335,206.31,206.325,0.0,0.0,,,,,
2025-04-03 16:24:15,206.3253,206.3253,206.2714,206.2875,1.0,,,,,,
2025-04-03 16:24:20,206.305,206.44,206.305,206.3553,1.0,0.0,,,,,
2025-04-03 16:24:25,206.3411,206.35,206.29,206.3,1.0,,,,,,
2025-04-03 16:24:30,206.295,206.31,206.272,206.295,1.0,0.0,0.0,,,,
2025-04-03 16:24:35,206.295,206.32,206.2901,206.3002,0.0,,,,,,
2025-04-03 16:24:40,206.32,206.32,206.2501,206.2797,0.0,0.0,,,,,
2025-04-03 16:24:45,206.265,206.335,206.245,206.3,0.0,,,,,,
2025-04-03 16:24:50,206.25,206.31,206.25,206.31,0.0,0.0,,,,,
2025-04-03 16:24:55,206.3,206.35,206.3,206.35,0.0,,,,,,
2025-04-03 16:25:00,206.37,206.38,206.32,206.35,1.0,0.0,0.0,-1.0,,-1.0,
2025-04-03 16:25:05,206.35,206.35,206.23,206.26,1.0,,,,,,
2025-04-03 16:25:10,206.24,206.29,206.235,206.29,0.0,0.0,,,,,
2025-04-03 16:25:15,206.27,206.27,206.21,206.225,0.0,,,,,,
2025-04-03 16:25:20,206.23,206.25,206.17,206.1738,0.0,0.0,,,,,
2025-04-03 16:25:25,206.185,206.1997,206.09,206.09,0.0,,,,,,
2025-04-03 16:25:30,206.09,206.09,206.05,206.08,0.0,0.0,-1.0,,,,
2025-04-03 16:25:35,206.085,206.085,205.95,205.9532,0.0,,,,,,
2025-04-03 16:25:40,205.9614,206.0,205.92,205.945,0.0,0.0,,,,,
2025-04-03 16:25:45,205.945,205.99,205.905,205.925,0.0,,,,,,
2025-04-03 16:25:50,205.92,206.0,205.92,205.975,0.0,0.0,,,,,
2025-04-03 16:25:55,205.96,205.97,205.9,205.91,0.0,,,,,,
2025-04-03 16:26:00,205.92,205.92,205.8301,205.8322,0.0,0.0,0.0,-1.0,-1.0,,
2025-04-03 16:26:05,205.83,205.91,205.83,205.9,0.0,,,,,,
2025-04-03 16:26:10,205.88,205.885,205.81,205.85,0.0,0.0,,,,,
2025-04-03 16:26:15,205.84,205.88,205.76,205.78,0.0,,,,,,
2025-04-03 16:26:20,205.7749,205.84,205.72,205.84,0.0,0.0,,,,,
2025-04-03 16:26:25,205.8173,205.88,205.8,205.875,0.0,,,,,,
2025-04-03 16:26:30,205.87,205.89,205.845,205.85,0.0,0.0,-1.0,,,,
2025-04-03 16:26:35,205.85,205.869,205.75,205.869,0.0,,,,,,
2025-04-03 16:26:40,205.8504,205.87,205.8001,205.8297,0.0,0.0,,,,,
2025-04-03 16:26:45,205.8,205.82,205.76,205.81,0.0,,,,,,
2025-04-03 16:26:50,205.82,205.8362,205.77,205.77,0.0,0.0,,,,,
2025-04-03 16:26:55,205.76,205.7859,205.74,205.76,0.0,,,,,,
2025-04-03 16:27:00,205.77,205.78,205.7,205.7,0.0,0.0,-1.0,-1.0,,,
2025-04-03 16:27:05,205.695,205.715,205.68,205.68,0.0,,,,,,
2025-04-03 16:27:10,205.7,205.78,205.67,205.7692,0.0,0.0,,,,,
2025-04-03 16:27:15,205.76,205.76,205.72,205.72,0.0,,,,,,
2025-04-03 16:27:20,205.715,205.725,205.69,205.705,0.0,0.0,,,,,
2025-04-03 16:27:25,205.7,205.79,205.69,205.79,0.0,,,,,,
2025-04-03 16:27:30,205.79,205.81,205.74,205.79,0.0,0.0,0.0,,,,
2025-04-03 16:27:35,205.79,205.79,205.731,205.74,0.0,,,,,,
2025-04-03 16:27:40,205.74,205.75,205.6901,205.745,0.0,0.0,,,,,
2025-04-03 16:27:45,205.735,205.76,205.72,205.74,0.0,,,,,,
2025-04-03 16:27:50,205.71,205.79,205.71,205.79,0.0,0.0,,,,,
2025-04-03 16:27:55,205.78,205.81,205.74,205.8,0.0,,,,,,
2025-04-03 16:28:00,205.84,205.8999,205.83,205.84,0.0,0.0,-1.0,-1.0,-1.0,,
2025-04-03 16:28:05,205.85,205.85,205.81,205.825,0.0,,,,,,
2025-04-03 16:28:10,205.81,205.8993,205.81,205.8754,0.0,0.0,,,,,
2025-04-03 16:28:15,205.9,205.9,205.8504,205.8577,0.0,,,,,,
2025-04-03 16:28:20,205.87,205.88,205.85,205.85,0.0,0.0,,,,,
2025-04-03 16:28:25,205.85,206.0,205.85,205.99,0.0,,,,,,
2025-04-03 16:28:30,205.96,205.99,205.94,205.975,0.0,0.0,-1.0,,,,
2025-04-03 16:28:35,205.975,205.98,205.94,205.94,0.0,,,,,,
2025-04-03 16:28:40,205.9203,205.9497,205.92,205.94,0.0,0.0,,,,,
2025-04-03 16:28:45,205.96,206.0,205.94,205.94,0.0,,,,,,
2025-04-03 16:28:50,205.94,205.94,205.8775,205.93,0.0,0.0,,,,,
2025-04-03 16:28:55,205.93,205.93,205.89,205.9086,0.0,,,,,,
2025-04-03 16:29:00,205.91,205.9598,205.91,205.94,0.0,0.0,-1.0,-1.0,,,
2025-04-03 16:29:05,205.95,206.0,205.92,205.92,0.0,,,,,,
2025-04-03 16:29:10,205.95,206.0,205.91,205.9808,0.0,0.0,,,,,
2025-04-03 16:29:15,206.0,206.03,205.97,205.9769,0.0,,,,,,
2025-04-03 16:29:20,206.0,206.005,205.96,205.9987,0.0,0.0,,,,,
2025-04-03 16:29:25,205.985,206.02,205.96,205.96,0.0,,,,,,
2025-04-03 16:29:30,205.96,205.97,205.9404,205.95,0.0,0.0,-1.0,,,,
2025-04-03 16:29:35,205.96,205.985,205.93,205.985,0.0,,,,,,
2025-04-03 16:29:40,205.9808,205.99,205.97,205.9727,0.0,0.0,,,,,
2025-04-03 16:29:45,205.98,206.06,205.945,206.06,0.0,,,,,,
2025-04-03 16:29:50,206.045,206.07,206.03,206.05,0.0,0.0,,,,,
2025-04-03 16:29:55,206.07,206.1,206.06,206.06,0.0,,,,,,
2025-04-03 16:30:00,206.09,206.18,206.0802,206.16,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
2025-04-03 16:30:05,206.18,206.3,206.18,206.265,0.0,,,,,,
2025-04-03 16:30:10,206.25,206.25,206.1792,206.1792,1.0,0.0,,,,,
2025-04-03 16:30:15,206.175,206.1874,206.1,206.1,0.0,,,,,,
2025-04-03 16:30:20,206.11,206.115,205.95,205.99,0.0,0.0,,,,,
2025-04-03 16:30:25,205.9544,205.965,205.88,205.89,0.0,,,,,,
2025-04-03 16:30:30,205.8997,205.98,205.86,205.92,0.0,0.0,-1.0,,,,
2025-04-03 16:30:35,205.92,205.96,205.9,205.908,0.0,,,,,,
2025-04-03 16:30:40,205.94,205.94,205.87,205.9,0.0,0.0,,,,,
2025-04-03 16:30:45,205.87,205.88,205.84,205.8592,0.0,,,,,,
2025-04-03 16:30:50,205.85,205.88,205.83,205.87,0.0,0.0,,,,,
2025-04-03 16:30:55,205.87,205.87,205.8,205.8199,0.0,,,,,,
2025-04-03 16:31:00,205.8191,205.82,205.75,205.7534,0.0,0.0,-1.0,-1.0,,,
